group_id	items_in_group	lo_value	p	FDR	goodsgrna
TOR4A	7	6.4912e-02	2.1982e-01	0.793615	5
JPH2	10	6.4926e-02	2.1985e-01	0.793615	5
KCNA4	9	6.4927e-02	2.1985e-01	0.793615	4
MICU2	5	6.4939e-02	2.1988e-01	0.793615	4
KRTAP15-1	9	6.4950e-02	2.1991e-01	0.793615	3
CCDC28B	12	6.4956e-02	2.1992e-01	0.793615	5
CAND1	8	6.4968e-02	2.1995e-01	0.793615	6
APLN	10	6.5014e-02	2.2007e-01	0.793886	2
C11orf74	10	6.5042e-02	2.2014e-01	0.793996	5
TUBGCP4	6	6.5159e-02	2.2042e-01	0.794791	5
CDC16	3	6.5176e-02	2.2047e-01	0.794791	3
C6orf141	9	6.5198e-02	2.2052e-01	0.794791	5
SLC25A27	9	6.5200e-02	2.2053e-01	0.794791	7
KIF14	10	6.5238e-02	2.2062e-01	0.794968	4
negative85	11	6.5260e-02	2.2067e-01	0.795009	5
PTX4	7	6.5324e-02	2.2082e-01	0.795160	5
PRR4	11	6.5324e-02	2.2082e-01	0.795160	6
TC2N	9	6.5334e-02	2.2084e-01	0.795160	7
FAM151A	7	6.5447e-02	2.2112e-01	0.795654	3
EME1	9	6.5452e-02	2.2114e-01	0.795654	4
IPO11	11	6.5452e-02	2.2114e-01	0.795654	7
USP43	5	6.5453e-02	2.2114e-01	0.795654	4
LSM1	10	6.5498e-02	2.2126e-01	0.795935	5
ZNF784	9	6.5542e-02	2.2136e-01	0.795946	6
FGFR1	9	6.5548e-02	2.2138e-01	0.795946	4
PARVB	10	6.5569e-02	2.2143e-01	0.795946	5
BRD2	9	6.5588e-02	2.2148e-01	0.795946	3
SRP54	9	6.5592e-02	2.2149e-01	0.795946	7
TMEM229A	8	6.5614e-02	2.2154e-01	0.795946	6
MT1H	10	6.5645e-02	2.2161e-01	0.795946	6
DYNC2LI1	9	6.5679e-02	2.2169e-01	0.795946	7
C6orf89	10	6.5682e-02	2.2170e-01	0.795946	7
TOLLIP	11	6.5690e-02	2.2171e-01	0.795946	8
PGRMC2	9	6.5713e-02	2.2177e-01	0.795946	7
CHRND	8	6.5757e-02	2.2188e-01	0.795946	5
ARIH1	9	6.5768e-02	2.2190e-01	0.795946	6
PYCARD	8	6.5769e-02	2.2191e-01	0.795946	5
CNDP2	10	6.5773e-02	2.2192e-01	0.795946	5
SMIM5	11	6.5781e-02	2.2193e-01	0.795946	7
PALM	9	6.5922e-02	2.2227e-01	0.796961	6
HAND1	10	6.5948e-02	2.2234e-01	0.796961	3
ARF3	8	6.5951e-02	2.2235e-01	0.796961	4
SLC38A2	8	6.5972e-02	2.2240e-01	0.796961	4
HDAC10	9	6.6016e-02	2.2250e-01	0.796961	7
MMEL1	8	6.6029e-02	2.2253e-01	0.796961	5
KPNA4	9	6.6050e-02	2.2259e-01	0.796961	7
TPPP	5	6.6064e-02	2.2262e-01	0.796961	2
KPTN	9	6.6065e-02	2.2262e-01	0.796961	7
TTC23	11	6.6091e-02	2.2268e-01	0.796961	7
AUH	5	6.6092e-02	2.2269e-01	0.796961	4
ARHGAP24	11	6.6117e-02	2.2275e-01	0.796961	7
FREM2	8	6.6120e-02	2.2276e-01	0.796961	4
TRIM21	11	6.6169e-02	2.2288e-01	0.796965	5
ZNF548	10	6.6182e-02	2.2292e-01	0.796965	6
MAPK1	7	6.6190e-02	2.2294e-01	0.796965	5
GPR27	3	6.6210e-02	2.2299e-01	0.796965	3
TRIO	8	6.6239e-02	2.2306e-01	0.796965	6
HLA-DQA2	12	6.6303e-02	2.2322e-01	0.796965	6
TCF3	9	6.6310e-02	2.2323e-01	0.796965	6
USP11	8	6.6319e-02	2.2326e-01	0.796965	6
AGR2	11	6.6327e-02	2.2327e-01	0.796965	8
OR10J5	9	6.6332e-02	2.2329e-01	0.796965	3
FOLR3	7	6.6344e-02	2.2331e-01	0.796965	5
PDS5A	11	6.6351e-02	2.2333e-01	0.796965	5
LRP1	8	6.6383e-02	2.2340e-01	0.796965	2
SFT2D3	9	6.6407e-02	2.2347e-01	0.796965	5
FBXO3	10	6.6417e-02	2.2349e-01	0.796965	5
TUBGCP5	6	6.6422e-02	2.2351e-01	0.796965	5
CHMP7	8	6.6423e-02	2.2351e-01	0.796965	5
TMX1	6	6.6445e-02	2.2356e-01	0.796965	4
RNF157	5	6.6446e-02	2.2356e-01	0.796965	3
SERPINB3	7	6.6457e-02	2.2359e-01	0.796965	3
TAX1BP1	9	6.6499e-02	2.2371e-01	0.797227	5
FAM26E	7	6.6554e-02	2.2385e-01	0.797527	3
THAP7	6	6.6573e-02	2.2388e-01	0.797527	5
ARL5C	10	6.6590e-02	2.2392e-01	0.797527	4
ALX4	5	6.6652e-02	2.2406e-01	0.797719	3
NXPH3	10	6.6660e-02	2.2409e-01	0.797719	7
PHF8	8	6.6676e-02	2.2413e-01	0.797719	5
C19orf52	9	6.6688e-02	2.2416e-01	0.797719	7
TBX10	8	6.6697e-02	2.2418e-01	0.797719	5
TRMT44	10	6.6722e-02	2.2424e-01	0.797771	6
NOL4	6	6.6740e-02	2.2428e-01	0.797771	4
C7orf71	10	6.6794e-02	2.2441e-01	0.798075	4
IFIT5	7	6.6811e-02	2.2445e-01	0.798075	4
KLF1	6	6.6856e-02	2.2458e-01	0.798376	3
C5orf38	8	6.6944e-02	2.2479e-01	0.798909	4
OR4C15	10	6.6983e-02	2.2489e-01	0.798909	6
PABPN1	7	6.6993e-02	2.2491e-01	0.798909	5
ACAD9	7	6.7018e-02	2.2497e-01	0.798909	5
PDGFRA	11	6.7044e-02	2.2504e-01	0.798909	4
TEX35	10	6.7057e-02	2.2507e-01	0.798909	5
SRM	6	6.7069e-02	2.2510e-01	0.798909	5
RHOQ	7	6.7095e-02	2.2517e-01	0.798909	4
CDKL4	6	6.7130e-02	2.2525e-01	0.798909	5
ZMAT3	3	6.7136e-02	2.2526e-01	0.798909	3
TREML4	8	6.7143e-02	2.2527e-01	0.798909	6
CHRNG	8	6.7168e-02	2.2534e-01	0.798909	5
MET	9	6.7171e-02	2.2534e-01	0.798909	7
FAM19A2	11	6.7219e-02	2.2547e-01	0.798909	6
SLC29A1	5	6.7273e-02	2.2562e-01	0.798909	4
WEE1	11	6.7307e-02	2.2569e-01	0.798909	8
TMEM176A	12	6.7320e-02	2.2573e-01	0.798909	4
ALOX15	9	6.7322e-02	2.2574e-01	0.798909	7
DAPP1	10	6.7330e-02	2.2575e-01	0.798909	6
A3GALT2	7	6.7341e-02	2.2578e-01	0.798909	4
ERAP1	7	6.7348e-02	2.2579e-01	0.798909	5
RNF183	7	6.7355e-02	2.2581e-01	0.798909	5
FAM180A	8	6.7358e-02	2.2582e-01	0.798909	4
THBS2	11	6.7361e-02	2.2583e-01	0.798909	8
CCDC58	9	6.7406e-02	2.2592e-01	0.798909	7
LMNA	10	6.7409e-02	2.2593e-01	0.798909	7
SLC2A1	8	6.7411e-02	2.2593e-01	0.798909	3
PPT1	7	6.7413e-02	2.2594e-01	0.798909	2
SLC7A9	8	6.7416e-02	2.2594e-01	0.798909	6
LHFPL5	7	6.7431e-02	2.2598e-01	0.798909	5
PMM1	11	6.7492e-02	2.2613e-01	0.798967	7
GRIK3	5	6.7493e-02	2.2614e-01	0.798967	2
TMEM79	9	6.7493e-02	2.2614e-01	0.798967	6
CDC40	10	6.7523e-02	2.2620e-01	0.798967	5
MIDN	3	6.7526e-02	2.2621e-01	0.798967	3
HIST1H2AE	11	6.7569e-02	2.2630e-01	0.799162	5
LRRC37A2	5	6.7591e-02	2.2635e-01	0.799181	4
C3orf33	3	6.7649e-02	2.2649e-01	0.799410	3
OR11H12	8	6.7671e-02	2.2655e-01	0.799410	5
MMP17	9	6.7680e-02	2.2657e-01	0.799410	7
REEP1	5	6.7685e-02	2.2658e-01	0.799410	4
ANKRD36B	10	6.7751e-02	2.2674e-01	0.799521	7
C15orf59	11	6.7757e-02	2.2675e-01	0.799521	8
AMDHD2	11	6.7761e-02	2.2677e-01	0.799521	5
FOXD3	1	6.7768e-02	2.2678e-01	0.799521	1
CBWD2	7	6.7815e-02	2.2689e-01	0.799620	4
C4orf45	10	6.7815e-02	2.2690e-01	0.799620	7
CUEDC2	8	6.7834e-02	2.2694e-01	0.799620	4
CLPB	5	6.7875e-02	2.2703e-01	0.799717	3
REM1	7	6.7883e-02	2.2705e-01	0.799717	5
ZNF100	11	6.7953e-02	2.2722e-01	0.800105	3
B3GNT4	7	6.7973e-02	2.2726e-01	0.800105	3
PNLIP	12	6.7999e-02	2.2732e-01	0.800105	8
IGSF23	11	6.8017e-02	2.2736e-01	0.800105	3
PCDHA7	9	6.8020e-02	2.2737e-01	0.800105	7
HRK	7	6.8108e-02	2.2757e-01	0.800614	5
FABP4	5	6.8119e-02	2.2760e-01	0.800614	1
PLET1	7	6.8162e-02	2.2770e-01	0.800819	4
KRTAP5-1	8	6.8184e-02	2.2776e-01	0.800872	6
CYB5R4	2	6.8198e-02	2.2780e-01	0.800872	2
SELK	10	6.8280e-02	2.2799e-01	0.801412	5
ATMIN	11	6.8321e-02	2.2810e-01	0.801578	5
negative248	10	6.8330e-02	2.2812e-01	0.801578	4
HINFP	6	6.8371e-02	2.2823e-01	0.801801	5
ACTL9	10	6.8397e-02	2.2828e-01	0.801850	5
HADHB	6	6.8452e-02	2.2841e-01	0.802123	5
OTX2	11	6.8479e-02	2.2848e-01	0.802123	6
TEX14	8	6.8486e-02	2.2849e-01	0.802123	6
ZWINT	2	6.8555e-02	2.2866e-01	0.802507	2
FANCM	8	6.8564e-02	2.2868e-01	0.802507	6
TRPC4	10	6.8605e-02	2.2879e-01	0.802507	5
ADAT1	11	6.8609e-02	2.2880e-01	0.802507	5
DDIT4L	12	6.8613e-02	2.2881e-01	0.802507	3
STAT5B	10	6.8656e-02	2.2891e-01	0.802725	5
LIMS1	6	6.8694e-02	2.2900e-01	0.802883	5
LDOC1	8	6.8721e-02	2.2907e-01	0.802992	4
SURF2	3	6.8746e-02	2.2913e-01	0.803052	3
SVOPL	10	6.8776e-02	2.2921e-01	0.803199	6
TM7SF2	7	6.8800e-02	2.2927e-01	0.803235	5
OR52A5	10	6.8878e-02	2.2945e-01	0.803611	5
COX20	12	6.8880e-02	2.2946e-01	0.803611	7
negative132	8	6.8938e-02	2.2958e-01	0.803631	6
TNRC18	7	6.8939e-02	2.2959e-01	0.803631	5
ZFP41	6	6.8950e-02	2.2961e-01	0.803631	4
PIP5K1A	9	6.8958e-02	2.2963e-01	0.803631	6
CEP83	6	6.9037e-02	2.2981e-01	0.804119	4
MRPL13	6	6.9054e-02	2.2986e-01	0.804122	3
SPATA20	10	6.9079e-02	2.2992e-01	0.804122	6
RPA4	8	6.9090e-02	2.2994e-01	0.804122	4
EGFL7	6	6.9136e-02	2.3005e-01	0.804215	5
KIAA0232	9	6.9139e-02	2.3006e-01	0.804215	7
TMEM161A	10	6.9155e-02	2.3009e-01	0.804215	7
SMYD3	9	6.9229e-02	2.3027e-01	0.804611	5
PDCD7	9	6.9244e-02	2.3031e-01	0.804611	5
ZNF461	9	6.9267e-02	2.3036e-01	0.804611	7
KIAA0922	8	6.9323e-02	2.3049e-01	0.804611	5
MAVS	8	6.9337e-02	2.3052e-01	0.804611	5
FUT4	9	6.9346e-02	2.3055e-01	0.804611	4
RBM28	12	6.9364e-02	2.3059e-01	0.804611	6
ENDOG	6	6.9366e-02	2.3059e-01	0.804611	4
IDE	11	6.9396e-02	2.3067e-01	0.804611	5
BVES	7	6.9398e-02	2.3067e-01	0.804611	5
PANK1	11	6.9425e-02	2.3074e-01	0.804611	5
PIP4K2B	10	6.9444e-02	2.3078e-01	0.804611	5
SLC16A5	11	6.9485e-02	2.3089e-01	0.804611	8
RABEPK	7	6.9509e-02	2.3096e-01	0.804611	5
HK3	7	6.9513e-02	2.3097e-01	0.804611	4
TMEM200C	9	6.9534e-02	2.3103e-01	0.804611	7
GATA1	11	6.9582e-02	2.3115e-01	0.804611	7
TRPM8	9	6.9585e-02	2.3115e-01	0.804611	6
RBM25	10	6.9605e-02	2.3120e-01	0.804611	6
ZSCAN30	12	6.9613e-02	2.3123e-01	0.804611	8
SLC7A14	8	6.9659e-02	2.3134e-01	0.804611	4
COX10	11	6.9673e-02	2.3137e-01	0.804611	8
DPM3	8	6.9685e-02	2.3140e-01	0.804611	5
RAMP2	7	6.9699e-02	2.3143e-01	0.804611	5
OR2Z1	8	6.9699e-02	2.3143e-01	0.804611	4
GOLIM4	8	6.9709e-02	2.3146e-01	0.804611	5
PHF2	6	6.9710e-02	2.3146e-01	0.804611	5
KRTAP5-7	6	6.9734e-02	2.3151e-01	0.804611	4
FASTKD5	10	6.9735e-02	2.3152e-01	0.804611	3
DZIP1	5	6.9761e-02	2.3158e-01	0.804611	4
TMLHE	11	6.9809e-02	2.3170e-01	0.804611	3
GNG2	9	6.9811e-02	2.3170e-01	0.804611	7
POLH	6	6.9818e-02	2.3172e-01	0.804611	4
TRIM16	7	6.9820e-02	2.3173e-01	0.804611	5
P3H1	4	6.9829e-02	2.3175e-01	0.804611	3
SPINK2	8	6.9837e-02	2.3176e-01	0.804611	4
KIAA0895L	11	6.9866e-02	2.3183e-01	0.804611	6
TUBB4A	3	6.9868e-02	2.3184e-01	0.804611	3
C11orf86	8	6.9873e-02	2.3185e-01	0.804611	3
MCF2L	9	6.9900e-02	2.3192e-01	0.804713	7
CD244	3	6.9947e-02	2.3205e-01	0.804999	3
JMJD7	9	6.9993e-02	2.3216e-01	0.805096	5
FLVCR1	9	7.0009e-02	2.3219e-01	0.805096	6
GBX2	5	7.0013e-02	2.3220e-01	0.805096	4
EIF4H	9	7.0096e-02	2.3239e-01	0.805603	6
ZC3H15	5	7.0163e-02	2.3256e-01	0.806018	4
MLLT1	11	7.0179e-02	2.3260e-01	0.806018	7
SNAPC1	7	7.0233e-02	2.3272e-01	0.806293	5
ZNF343	12	7.0281e-02	2.3283e-01	0.806487	6
RP9	11	7.0292e-02	2.3286e-01	0.806487	8
RRN3	11	7.0448e-02	2.3323e-01	0.807266	6
MCM8	9	7.0457e-02	2.3325e-01	0.807266	7
CELF4	6	7.0465e-02	2.3327e-01	0.807266	5
ZNF135	5	7.0492e-02	2.3335e-01	0.807266	2
PFKM	9	7.0522e-02	2.3342e-01	0.807266	6
GK	9	7.0531e-02	2.3344e-01	0.807266	7
C9orf57	11	7.0548e-02	2.3348e-01	0.807266	4
PABPC1L2A	9	7.0571e-02	2.3354e-01	0.807266	5
HPDL	7	7.0573e-02	2.3354e-01	0.807266	5
CCDC173	7	7.0575e-02	2.3354e-01	0.807266	4
PPARD	10	7.0607e-02	2.3363e-01	0.807266	7
YEATS2	10	7.0607e-02	2.3363e-01	0.807266	3
WDR7	9	7.0654e-02	2.3374e-01	0.807266	7
JAG1	7	7.0655e-02	2.3374e-01	0.807266	5
ENPP7	9	7.0661e-02	2.3375e-01	0.807266	6
DUSP23	10	7.0671e-02	2.3378e-01	0.807266	3
CPNE1	5	7.0689e-02	2.3383e-01	0.807266	3
VAX2	5	7.0697e-02	2.3384e-01	0.807266	3
TPRKB	8	7.0719e-02	2.3391e-01	0.807317	5
C9orf66	10	7.0732e-02	2.3394e-01	0.807317	6
TCP1	9	7.0812e-02	2.3414e-01	0.807317	5
DYDC2	7	7.0826e-02	2.3417e-01	0.807317	5
UNC93B1	5	7.0826e-02	2.3417e-01	0.807317	3
KATNBL1	9	7.0826e-02	2.3417e-01	0.807317	2
ZSCAN2	11	7.0831e-02	2.3418e-01	0.807317	3
SCARA3	10	7.0848e-02	2.3422e-01	0.807317	6
MED28	9	7.0865e-02	2.3426e-01	0.807317	4
CRNDE	8	7.0878e-02	2.3428e-01	0.807317	4
VEGFC	10	7.0958e-02	2.3449e-01	0.807879	4
STXBP5L	8	7.1019e-02	2.3463e-01	0.808084	6
SLC4A4	7	7.1058e-02	2.3472e-01	0.808084	4
CELA3B	6	7.1064e-02	2.3474e-01	0.808084	5
BHMT	9	7.1074e-02	2.3476e-01	0.808084	5
MYH3	12	7.1139e-02	2.3492e-01	0.808084	2
RAN	9	7.1151e-02	2.3494e-01	0.808084	6
ZDHHC6	9	7.1157e-02	2.3496e-01	0.808084	7
AIF1	9	7.1167e-02	2.3499e-01	0.808084	7
DEFA3	6	7.1167e-02	2.3499e-01	0.808084	3
POLR3D	11	7.1182e-02	2.3503e-01	0.808084	7
USP15	7	7.1183e-02	2.3503e-01	0.808084	5
CCL2	7	7.1223e-02	2.3513e-01	0.808084	5
CASC10	10	7.1260e-02	2.3522e-01	0.808084	5
VSX1	9	7.1263e-02	2.3523e-01	0.808084	6
FAM163B	3	7.1273e-02	2.3525e-01	0.808084	3
GATA2	6	7.1299e-02	2.3531e-01	0.808084	4
PRR30	6	7.1311e-02	2.3533e-01	0.808084	3
ASTE1	8	7.1317e-02	2.3535e-01	0.808084	4
PPP4R2	6	7.1332e-02	2.3539e-01	0.808084	5
POMGNT2	7	7.1335e-02	2.3539e-01	0.808084	4
LZTS1	11	7.1355e-02	2.3544e-01	0.808116	5
GEMIN5	5	7.1380e-02	2.3551e-01	0.808196	4
BECN1	9	7.1396e-02	2.3555e-01	0.808196	7
SMCHD1	6	7.1463e-02	2.3572e-01	0.808611	4
HARS2	10	7.1536e-02	2.3589e-01	0.808791	5
PRAMEF15	11	7.1539e-02	2.3590e-01	0.808791	6
MYBPC1	8	7.1540e-02	2.3590e-01	0.808791	6
ERP29	8	7.1565e-02	2.3596e-01	0.808810	4
ZNF407	9	7.1575e-02	2.3599e-01	0.808810	5
C16orf97	12	7.1644e-02	2.3616e-01	0.808952	4
KCNU1	9	7.1649e-02	2.3617e-01	0.808952	4
SBK1	10	7.1670e-02	2.3622e-01	0.808952	7
SPAG6	11	7.1707e-02	2.3632e-01	0.808952	5
IRAK4	8	7.1721e-02	2.3636e-01	0.808952	4
ARL8A	11	7.1724e-02	2.3637e-01	0.808952	6
CACNA2D2	11	7.1725e-02	2.3637e-01	0.808952	4
FNDC3B	10	7.1755e-02	2.3645e-01	0.808952	6
FMR1	5	7.1757e-02	2.3645e-01	0.808952	4
CREB3L3	9	7.1783e-02	2.3652e-01	0.808952	5
TM4SF1	9	7.1794e-02	2.3655e-01	0.808952	5
negative334	3	7.1804e-02	2.3656e-01	0.808952	3
SMTN	9	7.1833e-02	2.3664e-01	0.808952	7
MCAT	6	7.1841e-02	2.3666e-01	0.808952	4
GHRH	10	7.1847e-02	2.3667e-01	0.808952	7
GPR4	12	7.1862e-02	2.3671e-01	0.808952	6
LOC728392	10	7.1943e-02	2.3690e-01	0.809405	2
LYPD6B	10	7.2020e-02	2.3709e-01	0.809405	5
UNC5A	4	7.2030e-02	2.3710e-01	0.809405	3
CEACAM20	7	7.2037e-02	2.3712e-01	0.809405	5
FSD1L	7	7.2037e-02	2.3712e-01	0.809405	5
ANKRD35	10	7.2059e-02	2.3717e-01	0.809405	4
EIF2S2	8	7.2075e-02	2.3721e-01	0.809405	5
PAEP	11	7.2081e-02	2.3723e-01	0.809405	8
ERCC5	7	7.2087e-02	2.3723e-01	0.809405	5
ORC4	10	7.2118e-02	2.3731e-01	0.809405	7
CTNNA3	8	7.2160e-02	2.3742e-01	0.809405	6
TNFRSF10B	8	7.2160e-02	2.3742e-01	0.809405	6
FAM104B	9	7.2183e-02	2.3747e-01	0.809405	7
PPP4R3A	7	7.2191e-02	2.3749e-01	0.809405	5
PPP1R3C	12	7.2196e-02	2.3750e-01	0.809405	6
ANKEF1	8	7.2211e-02	2.3753e-01	0.809405	5
EFR3B	11	7.2253e-02	2.3763e-01	0.809405	5
COQ3	10	7.2269e-02	2.3767e-01	0.809405	5
DCC	9	7.2276e-02	2.3769e-01	0.809405	5
ELAVL2	9	7.2303e-02	2.3775e-01	0.809405	7
SLC35E1	2	7.2310e-02	2.3776e-01	0.809405	2
DNAJC10	11	7.2313e-02	2.3777e-01	0.809405	7
SLC45A2	9	7.2333e-02	2.3781e-01	0.809410	4
MTMR1	3	7.2364e-02	2.3789e-01	0.809457	3
LRCH1	8	7.2372e-02	2.3791e-01	0.809457	5
DDB1	8	7.2446e-02	2.3810e-01	0.809950	5
MYOG	9	7.2488e-02	2.3821e-01	0.810171	7
CASD1	10	7.2581e-02	2.3841e-01	0.810261	6
ISCU	11	7.2601e-02	2.3846e-01	0.810261	6
OTOP3	5	7.2657e-02	2.3859e-01	0.810261	4
ULK4	10	7.2662e-02	2.3860e-01	0.810261	5
NUDT9	7	7.2671e-02	2.3862e-01	0.810261	4
ODF3	11	7.2681e-02	2.3864e-01	0.810261	2
ZBTB2	9	7.2698e-02	2.3868e-01	0.810261	4
ALDOA	5	7.2767e-02	2.3885e-01	0.810261	4
ATXN1	8	7.2774e-02	2.3886e-01	0.810261	6
HMGN4	12	7.2786e-02	2.3889e-01	0.810261	8
TMEM106C	10	7.2798e-02	2.3892e-01	0.810261	7
EXTL1	9	7.2803e-02	2.3894e-01	0.810261	6
WT1	9	7.2811e-02	2.3896e-01	0.810261	5
AFP	9	7.2825e-02	2.3899e-01	0.810261	1
KIAA1524	10	7.2834e-02	2.3901e-01	0.810261	7
WDR1	8	7.2843e-02	2.3903e-01	0.810261	4
DTL	9	7.2845e-02	2.3904e-01	0.810261	3
APOL3	10	7.2871e-02	2.3911e-01	0.810261	5
FGF6	9	7.2874e-02	2.3911e-01	0.810261	6
USP5	8	7.2877e-02	2.3912e-01	0.810261	5
ZNF219	7	7.2940e-02	2.3927e-01	0.810261	5
ZNF322	12	7.2947e-02	2.3929e-01	0.810261	7
MANBA	4	7.2950e-02	2.3931e-01	0.810261	3
RAB31	8	7.2955e-02	2.3932e-01	0.810261	4
ELF1	10	7.2958e-02	2.3933e-01	0.810261	3
ITGB4	6	7.2979e-02	2.3938e-01	0.810261	5
ALG12	11	7.3001e-02	2.3944e-01	0.810261	5
TYR	9	7.3037e-02	2.3952e-01	0.810261	7
TTC21B	11	7.3040e-02	2.3953e-01	0.810261	6
ABCB5	8	7.3048e-02	2.3955e-01	0.810261	2
OR10H5	10	7.3049e-02	2.3955e-01	0.810261	7
TFPI2	11	7.3076e-02	2.3962e-01	0.810356	7
PKP3	7	7.3098e-02	2.3967e-01	0.810368	5
SNRNP48	9	7.3150e-02	2.3978e-01	0.810605	7
ARHGAP17	9	7.3216e-02	2.3995e-01	0.810711	1
RAD51	6	7.3217e-02	2.3995e-01	0.810711	5
SULT1A4	6	7.3224e-02	2.3997e-01	0.810711	3
ZNF334	11	7.3255e-02	2.4004e-01	0.810711	5
DKK4	10	7.3275e-02	2.4008e-01	0.810711	6
ORMDL3	6	7.3280e-02	2.4010e-01	0.810711	4
LAMP2	5	7.3291e-02	2.4012e-01	0.810711	4
TAF5L	8	7.3308e-02	2.4016e-01	0.810711	3
ZNF79	5	7.3345e-02	2.4025e-01	0.810711	2
CARS2	6	7.3361e-02	2.4029e-01	0.810711	4
GPR61	6	7.3365e-02	2.4030e-01	0.810711	4
HDHD1	3	7.3374e-02	2.4032e-01	0.810711	3
ZNF491	9	7.3415e-02	2.4042e-01	0.810906	7
DPYSL2	6	7.3445e-02	2.4049e-01	0.810990	4
UBR2	12	7.3508e-02	2.4065e-01	0.811384	5
TGFBR3L	9	7.3582e-02	2.4083e-01	0.811849	4
NPAT	4	7.3607e-02	2.4089e-01	0.811915	3
ENO4	7	7.3665e-02	2.4102e-01	0.812193	4
CR1	3	7.3717e-02	2.4114e-01	0.812399	3
KNCN	8	7.3763e-02	2.4125e-01	0.812399	5
FSD2	8	7.3766e-02	2.4126e-01	0.812399	6
FNBP4	8	7.3786e-02	2.4130e-01	0.812399	4
FNTA	3	7.3793e-02	2.4132e-01	0.812399	3
ARL4C	9	7.3813e-02	2.4135e-01	0.812399	6
ZMYM6NB	11	7.3838e-02	2.4142e-01	0.812399	7
KCNQ1	6	7.3847e-02	2.4144e-01	0.812399	4
ZIC3	10	7.3891e-02	2.4154e-01	0.812399	6
PLXNC1	8	7.3892e-02	2.4154e-01	0.812399	6
LRP5L	10	7.3912e-02	2.4159e-01	0.812399	6
UAP1L1	7	7.3941e-02	2.4165e-01	0.812399	3
EMC1	8	7.3957e-02	2.4169e-01	0.812399	5
MEAF6	8	7.3978e-02	2.4174e-01	0.812399	5
ADCY1	8	7.4002e-02	2.4180e-01	0.812399	6
OR5P3	9	7.4029e-02	2.4185e-01	0.812399	4
MTSS1	6	7.4041e-02	2.4189e-01	0.812399	5
PFKP	9	7.4051e-02	2.4191e-01	0.812399	2
THOC6	10	7.4056e-02	2.4192e-01	0.812399	5
LCLAT1	11	7.4072e-02	2.4196e-01	0.812399	5
KIAA0196	10	7.4088e-02	2.4199e-01	0.812399	2
FAM214A	12	7.4097e-02	2.4201e-01	0.812399	7
C1orf195	9	7.4121e-02	2.4208e-01	0.812477	6
LAPTM5	8	7.4175e-02	2.4220e-01	0.812733	5
ETV5	9	7.4234e-02	2.4233e-01	0.812853	4
ADH5	8	7.4255e-02	2.4238e-01	0.812853	4
C1D	11	7.4263e-02	2.4240e-01	0.812853	8
SLC30A5	9	7.4321e-02	2.4253e-01	0.812853	4
SETD6	5	7.4325e-02	2.4254e-01	0.812853	4
ZDHHC11	11	7.4337e-02	2.4257e-01	0.812853	4
GGH	9	7.4361e-02	2.4263e-01	0.812853	3
KIAA1549	3	7.4385e-02	2.4269e-01	0.812853	3
ORAI2	6	7.4386e-02	2.4270e-01	0.812853	4
NBPF15	7	7.4390e-02	2.4270e-01	0.812853	5
HTR3D	8	7.4409e-02	2.4275e-01	0.812853	4
WDR89	9	7.4413e-02	2.4275e-01	0.812853	7
AGER	8	7.4426e-02	2.4279e-01	0.812853	6
ITGA6	6	7.4452e-02	2.4285e-01	0.812915	4
OR10A3	7	7.4466e-02	2.4289e-01	0.812915	3
SNTG2	5	7.4507e-02	2.4298e-01	0.812963	4
LY6H	9	7.4512e-02	2.4299e-01	0.812963	6
PREX1	4	7.4564e-02	2.4311e-01	0.813218	3
AP5S1	6	7.4631e-02	2.4327e-01	0.813254	5
PCYOX1L	7	7.4633e-02	2.4327e-01	0.813254	5
BMPER	9	7.4654e-02	2.4332e-01	0.813254	5
FUS	6	7.4675e-02	2.4336e-01	0.813254	5
IL1RN	4	7.4685e-02	2.4339e-01	0.813254	1
TM2D1	7	7.4698e-02	2.4342e-01	0.813254	4
SLC22A9	7	7.4714e-02	2.4346e-01	0.813254	2
A1CF	6	7.4715e-02	2.4346e-01	0.813254	4
HSPA13	11	7.4767e-02	2.4359e-01	0.813543	7
negative261	11	7.4805e-02	2.4367e-01	0.813670	3
CLVS2	8	7.4858e-02	2.4380e-01	0.813892	1
LOC728485	10	7.4888e-02	2.4386e-01	0.813892	6
C1orf233	10	7.4888e-02	2.4386e-01	0.813892	6
TEX10	12	7.4935e-02	2.4397e-01	0.814105	8
CD27	10	7.4964e-02	2.4404e-01	0.814112	6
GDF15	10	7.4982e-02	2.4408e-01	0.814112	7
BARX1	7	7.4989e-02	2.4410e-01	0.814112	5
ARHGAP44	8	7.5020e-02	2.4418e-01	0.814236	3
C10orf53	8	7.5053e-02	2.4425e-01	0.814331	6
ADCY8	8	7.5089e-02	2.4433e-01	0.814460	5
BPGM	7	7.5130e-02	2.4443e-01	0.814579	5
PPCS	8	7.5141e-02	2.4445e-01	0.814579	6
PEF1	11	7.5164e-02	2.4451e-01	0.814600	6
MAP3K10	8	7.5185e-02	2.4456e-01	0.814600	5
WDR54	10	7.5199e-02	2.4459e-01	0.814600	4
COL8A2	8	7.5235e-02	2.4468e-01	0.814709	6
SLC6A11	9	7.5243e-02	2.4471e-01	0.814709	4
COL6A1	11	7.5271e-02	2.4478e-01	0.814795	8
CCDC176	9	7.5332e-02	2.4493e-01	0.815117	7
NLRP9	10	7.5361e-02	2.4500e-01	0.815117	4
