group_id	items_in_group	lo_value	p	FDR	goodsgrna
DYNLL2	11	3.0064e-02	1.0935e-01	0.741705	4
PIWIL2	8	3.0080e-02	1.0940e-01	0.741705	4
CYP7A1	7	3.0081e-02	1.0940e-01	0.741705	3
TMEM173	12	3.0094e-02	1.0944e-01	0.741705	7
HIST1H4G	8	3.0106e-02	1.0948e-01	0.741705	3
CCDC69	9	3.0115e-02	1.0950e-01	0.741705	2
KRTAP4-2	5	3.0119e-02	1.0951e-01	0.741705	2
C6orf10	7	3.0120e-02	1.0951e-01	0.741705	2
SPOP	7	3.0124e-02	1.0952e-01	0.741705	2
PGPEP1L	9	3.0129e-02	1.0954e-01	0.741705	6
CYP27A1	8	3.0130e-02	1.0954e-01	0.741705	4
ANP32D	10	3.0149e-02	1.0960e-01	0.741853	5
MEI4	9	3.0185e-02	1.0969e-01	0.741976	6
PLA2G4F	10	3.0187e-02	1.0970e-01	0.741976	5
TMPRSS11F	11	3.0277e-02	1.0995e-01	0.743207	7
NNT	9	3.0281e-02	1.0996e-01	0.743207	3
CCDC33	9	3.0333e-02	1.1011e-01	0.743285	3
CCNG2	8	3.0336e-02	1.1012e-01	0.743285	5
negative140	6	3.0358e-02	1.1017e-01	0.743285	2
BCAP31	10	3.0363e-02	1.1019e-01	0.743285	5
PHIP	10	3.0401e-02	1.1029e-01	0.743285	6
SLX4IP	10	3.0407e-02	1.1031e-01	0.743285	2
DCLRE1B	11	3.0410e-02	1.1031e-01	0.743285	7
MED15	7	3.0411e-02	1.1032e-01	0.743285	5
ZG16B	7	3.0420e-02	1.1035e-01	0.743285	1
RAB42	8	3.0425e-02	1.1036e-01	0.743285	2
OR1S2	7	3.0452e-02	1.1043e-01	0.743512	5
KRTAP10-2	6	3.0494e-02	1.1056e-01	0.743795	2
BTBD1	10	3.0512e-02	1.1060e-01	0.743795	5
TGFBR2	9	3.0557e-02	1.1072e-01	0.743795	5
ALKBH6	10	3.0561e-02	1.1073e-01	0.743795	6
API5	11	3.0566e-02	1.1075e-01	0.743795	7
CES5A	6	3.0567e-02	1.1075e-01	0.743795	1
RTP4	10	3.0575e-02	1.1077e-01	0.743795	6
PIAS3	11	3.0582e-02	1.1079e-01	0.743795	6
negative109	10	3.0673e-02	1.1105e-01	0.744942	5
KCNU1	9	3.0684e-02	1.1108e-01	0.744942	4
KRTAP15-1	9	3.0698e-02	1.1111e-01	0.744942	6
EIF4EBP3	7	3.0716e-02	1.1115e-01	0.744942	1
APH1A	11	3.0728e-02	1.1119e-01	0.744942	6
CCDC89	8	3.0740e-02	1.1122e-01	0.744942	4
CBLB	8	3.0762e-02	1.1129e-01	0.744942	4
BIRC3	11	3.0765e-02	1.1129e-01	0.744942	5
ANXA10	10	3.0782e-02	1.1134e-01	0.744942	4
RPS27L	11	3.0794e-02	1.1137e-01	0.744942	6
TTPAL	8	3.0802e-02	1.1139e-01	0.744942	2
OR10X1	11	3.0861e-02	1.1156e-01	0.745576	7
DEFB135	7	3.0863e-02	1.1156e-01	0.745576	5
BGLAP	8	3.0880e-02	1.1161e-01	0.745576	3
TEN1	9	3.0891e-02	1.1164e-01	0.745576	6
KIAA0825	10	3.0943e-02	1.1176e-01	0.746136	6
HECTD4	12	3.0963e-02	1.1181e-01	0.746228	7
CNTN3	9	3.0981e-02	1.1186e-01	0.746285	5
C12orf73	10	3.0994e-02	1.1190e-01	0.746285	5
LAT2	10	3.1032e-02	1.1200e-01	0.746569	6
AIMP1	9	3.1040e-02	1.1202e-01	0.746569	5
RUFY3	10	3.1059e-02	1.1208e-01	0.746653	3
FKBP5	6	3.1076e-02	1.1212e-01	0.746653	4
ZNF420	11	3.1098e-02	1.1218e-01	0.746653	6
RALGDS	11	3.1103e-02	1.1219e-01	0.746653	6
OR10A6	10	3.1159e-02	1.1234e-01	0.747401	6
SLC17A6	11	3.1174e-02	1.1239e-01	0.747423	6
MAGEE2	10	3.1236e-02	1.1255e-01	0.747721	5
ABCC12	8	3.1240e-02	1.1256e-01	0.747721	5
OR5K3	11	3.1271e-02	1.1264e-01	0.747721	7
SLC1A5	9	3.1274e-02	1.1264e-01	0.747721	4
CDCA4	6	3.1274e-02	1.1265e-01	0.747721	4
CCDC82	12	3.1306e-02	1.1273e-01	0.747721	5
RMND5A	7	3.1307e-02	1.1273e-01	0.747721	3
ARL13A	9	3.1319e-02	1.1277e-01	0.747721	6
ADH4	11	3.1325e-02	1.1278e-01	0.747721	6
CHRNA6	10	3.1386e-02	1.1294e-01	0.748517	5
ACMSD	11	3.1435e-02	1.1308e-01	0.748696	7
NFKBIE	12	3.1451e-02	1.1312e-01	0.748696	5
ACTRT3	10	3.1454e-02	1.1314e-01	0.748696	5
TULP3	8	3.1459e-02	1.1316e-01	0.748696	4
CNTN4	11	3.1464e-02	1.1317e-01	0.748696	7
PRMT6	7	3.1477e-02	1.1320e-01	0.748696	3
LIM2	10	3.1513e-02	1.1331e-01	0.749112	6
EEF1D	9	3.1528e-02	1.1336e-01	0.749112	2
ST7L	10	3.1537e-02	1.1339e-01	0.749112	4
ZNF572	9	3.1559e-02	1.1345e-01	0.749284	6
SPATA6L	5	3.1588e-02	1.1353e-01	0.749284	4
TMEM150A	11	3.1590e-02	1.1354e-01	0.749284	7
CASS4	10	3.1609e-02	1.1359e-01	0.749284	4
SYT7	11	3.1624e-02	1.1364e-01	0.749284	7
SLC22A8	11	3.1656e-02	1.1372e-01	0.749284	6
ZNF846	9	3.1659e-02	1.1372e-01	0.749284	6
CEP19	7	3.1664e-02	1.1374e-01	0.749284	5
CYP7B1	9	3.1691e-02	1.1381e-01	0.749284	5
CH17-360D5.1	8	3.1701e-02	1.1384e-01	0.749284	3
OR4C12	6	3.1714e-02	1.1388e-01	0.749284	3
EFCAB1	10	3.1724e-02	1.1390e-01	0.749284	6
KRTAP7-1	12	3.1748e-02	1.1397e-01	0.749284	4
ALDH18A1	10	3.1758e-02	1.1399e-01	0.749284	5
ZFP30	9	3.1770e-02	1.1402e-01	0.749284	4
ABI2	11	3.1778e-02	1.1404e-01	0.749284	7
ASXL3	7	3.1824e-02	1.1417e-01	0.749284	4
OR52K1	8	3.1831e-02	1.1419e-01	0.749284	4
CA3	11	3.1855e-02	1.1426e-01	0.749284	7
TMF1	8	3.1894e-02	1.1434e-01	0.749284	3
CBLN3	10	3.1931e-02	1.1445e-01	0.749284	6
DSG1	10	3.1934e-02	1.1445e-01	0.749284	6
NUP210	7	3.1934e-02	1.1446e-01	0.749284	5
CCKAR	11	3.1956e-02	1.1452e-01	0.749284	7
SMG5	10	3.1959e-02	1.1452e-01	0.749284	3
POLQ	11	3.1983e-02	1.1460e-01	0.749284	3
SMARCA2	10	3.1983e-02	1.1460e-01	0.749284	5
C16orf46	7	3.1985e-02	1.1460e-01	0.749284	5
CXCL6	6	3.1992e-02	1.1462e-01	0.749284	3
TCN1	8	3.1997e-02	1.1464e-01	0.749284	5
RRBP1	9	3.2005e-02	1.1466e-01	0.749284	6
CD52	10	3.2010e-02	1.1467e-01	0.749284	5
C1orf56	8	3.2038e-02	1.1474e-01	0.749492	2
CARD9	11	3.2054e-02	1.1478e-01	0.749493	4
LOC100129940	4	3.2091e-02	1.1488e-01	0.749689	2
CDK17	8	3.2094e-02	1.1489e-01	0.749689	4
ABCA4	11	3.2105e-02	1.1493e-01	0.749689	7
GLS	7	3.2145e-02	1.1503e-01	0.749992	4
TNC	11	3.2163e-02	1.1508e-01	0.749992	5
DDT	10	3.2164e-02	1.1509e-01	0.749992	6
CHN1	9	3.2233e-02	1.1528e-01	0.750950	5
RNASE11	11	3.2276e-02	1.1539e-01	0.751420	6
FECH	11	3.2319e-02	1.1550e-01	0.751906	3
RNF133	10	3.2399e-02	1.1572e-01	0.752541	5
ALDH1L2	4	3.2406e-02	1.1574e-01	0.752541	2
GPCPD1	10	3.2411e-02	1.1576e-01	0.752541	4
RHOXF1	10	3.2420e-02	1.1579e-01	0.752541	4
HOXA10	11	3.2432e-02	1.1582e-01	0.752541	5
SOCS6	8	3.2438e-02	1.1584e-01	0.752541	5
MYL7	8	3.2453e-02	1.1588e-01	0.752565	4
VPS26A	3	3.2492e-02	1.1599e-01	0.753006	3
PGAP2	12	3.2535e-02	1.1610e-01	0.753494	6
EME1	9	3.2580e-02	1.1622e-01	0.753985	4
LRRC55	9	3.2701e-02	1.1656e-01	0.755646	5
STYK1	11	3.2745e-02	1.1669e-01	0.755646	6
STC2	11	3.2750e-02	1.1670e-01	0.755646	7
ECE1	11	3.2783e-02	1.1679e-01	0.755646	4
OR4A16	8	3.2784e-02	1.1679e-01	0.755646	4
SFR1	11	3.2784e-02	1.1679e-01	0.755646	7
SMC6	8	3.2795e-02	1.1683e-01	0.755646	5
FNDC3B	10	3.2803e-02	1.1684e-01	0.755646	3
SLA	9	3.2809e-02	1.1686e-01	0.755646	5
NGFRAP1	10	3.2813e-02	1.1687e-01	0.755646	6
FAM184A	8	3.2848e-02	1.1697e-01	0.756028	3
ANKRD24	8	3.2885e-02	1.1707e-01	0.756415	4
SEMA3C	8	3.2906e-02	1.1712e-01	0.756500	5
RGS8	7	3.2917e-02	1.1716e-01	0.756500	5
IL7R	9	3.2938e-02	1.1721e-01	0.756542	5
PSMA3	4	3.2971e-02	1.1729e-01	0.756842	3
SPINT3	5	3.2989e-02	1.1733e-01	0.756867	3
LOC100287036	9	3.3010e-02	1.1739e-01	0.756925	6
SPP2	12	3.3041e-02	1.1747e-01	0.756925	5
PNPLA2	9	3.3043e-02	1.1748e-01	0.756925	3
IL24	8	3.3051e-02	1.1750e-01	0.756925	5
SH2D3C	10	3.3086e-02	1.1759e-01	0.757230	4
KRTAP19-5	9	3.3129e-02	1.1772e-01	0.757783	6
FGF10	3	3.3151e-02	1.1778e-01	0.757938	2
SLC9A7	4	3.3180e-02	1.1785e-01	0.758170	1
MYO18A	8	3.3244e-02	1.1804e-01	0.759129	4
PCDHA9	10	3.3275e-02	1.1811e-01	0.759313	6
AKR1B15	11	3.3289e-02	1.1815e-01	0.759328	7
PPP2R5A	10	3.3333e-02	1.1829e-01	0.759386	6
TP53BP2	11	3.3355e-02	1.1836e-01	0.759386	7
DNAJC24	6	3.3377e-02	1.1842e-01	0.759386	2
STRBP	11	3.3382e-02	1.1843e-01	0.759386	7
TMEM155	11	3.3397e-02	1.1847e-01	0.759386	7
CRTAM	11	3.3400e-02	1.1847e-01	0.759386	7
SEMA3B	6	3.3400e-02	1.1847e-01	0.759386	4
SLC10A2	11	3.3433e-02	1.1857e-01	0.759386	7
ALLC	10	3.3434e-02	1.1857e-01	0.759386	5
CDC42SE2	9	3.3434e-02	1.1857e-01	0.759386	4
NFASC	6	3.3454e-02	1.1861e-01	0.759386	4
PITX1	10	3.3466e-02	1.1864e-01	0.759386	4
SPRR1B	9	3.3492e-02	1.1872e-01	0.759630	6
ASB14	9	3.3535e-02	1.1884e-01	0.760142	5
TMEM125	10	3.3551e-02	1.1888e-01	0.760159	6
VWA2	8	3.3582e-02	1.1896e-01	0.760246	4
LGI1	7	3.3589e-02	1.1898e-01	0.760246	3
MLH1	11	3.3603e-02	1.1902e-01	0.760246	7
HNRNPCL3	8	3.3641e-02	1.1912e-01	0.760246	4
RSF1	9	3.3643e-02	1.1912e-01	0.760246	4
IL22	10	3.3647e-02	1.1913e-01	0.760246	5
FKBP14	11	3.3680e-02	1.1922e-01	0.760515	7
FUCA2	5	3.3694e-02	1.1926e-01	0.760515	4
ODF2	7	3.3757e-02	1.1941e-01	0.761046	2
ARL4A	8	3.3778e-02	1.1946e-01	0.761046	3
ATCAY	10	3.3835e-02	1.1961e-01	0.761046	6
ZNF512B	10	3.3838e-02	1.1962e-01	0.761046	6
GAGE10	11	3.3847e-02	1.1964e-01	0.761046	7
OR51V1	10	3.3876e-02	1.1971e-01	0.761046	6
SENP8	7	3.3884e-02	1.1973e-01	0.761046	3
CMPK1	4	3.3887e-02	1.1974e-01	0.761046	3
AHSP	11	3.3892e-02	1.1976e-01	0.761046	5
OR2B11	9	3.3896e-02	1.1977e-01	0.761046	5
MKNK1	11	3.3900e-02	1.1978e-01	0.761046	4
NCR1	10	3.3915e-02	1.1982e-01	0.761047	2
TMEM17	10	3.3967e-02	1.1996e-01	0.761292	6
WDR11	12	3.3971e-02	1.1997e-01	0.761292	7
HOXA4	10	3.3980e-02	1.2000e-01	0.761292	4
TSSK3	12	3.3986e-02	1.2002e-01	0.761292	7
SAMD12	10	3.4033e-02	1.2013e-01	0.761779	6
YIPF7	12	3.4063e-02	1.2021e-01	0.762016	7
SEC23A	8	3.4104e-02	1.2033e-01	0.762516	5
UBTF	8	3.4160e-02	1.2048e-01	0.762558	3
FAM46A	9	3.4161e-02	1.2048e-01	0.762558	4
TMPRSS13	7	3.4163e-02	1.2049e-01	0.762558	5
PSD4	10	3.4168e-02	1.2051e-01	0.762558	6
OR52I2	9	3.4185e-02	1.2055e-01	0.762558	5
NOXRED1	10	3.4193e-02	1.2057e-01	0.762558	4
KRTAP4-4	10	3.4242e-02	1.2072e-01	0.763072	6
PAPLN	10	3.4274e-02	1.2080e-01	0.763072	5
BIRC8	12	3.4287e-02	1.2083e-01	0.763072	7
GJB1	10	3.4287e-02	1.2084e-01	0.763072	5
CRH	10	3.4293e-02	1.2086e-01	0.763072	5
SOGA1	6	3.4385e-02	1.2109e-01	0.764285	2
ARHGAP18	11	3.4417e-02	1.2118e-01	0.764285	4
SRRM4	9	3.4422e-02	1.2120e-01	0.764285	6
SEC61B	10	3.4428e-02	1.2121e-01	0.764285	5
COL27A1	8	3.4456e-02	1.2128e-01	0.764477	4
MAPK4	10	3.4545e-02	1.2151e-01	0.765459	6
EPN1	10	3.4548e-02	1.2151e-01	0.765459	3
POLB	10	3.4608e-02	1.2169e-01	0.766288	6
KRTAP12-3	10	3.4648e-02	1.2178e-01	0.766652	6
KLHL6	7	3.4679e-02	1.2186e-01	0.766899	5
PIP	7	3.4724e-02	1.2198e-01	0.766937	4
FAM72A	12	3.4726e-02	1.2199e-01	0.766937	7
UBTD2	10	3.4728e-02	1.2199e-01	0.766937	4
KLHL11	8	3.4762e-02	1.2209e-01	0.767317	5
TRIM44	8	3.4786e-02	1.2216e-01	0.767348	3
ASPA	6	3.4795e-02	1.2218e-01	0.767348	4
CACNA1D	7	3.4812e-02	1.2222e-01	0.767348	3
RSU1	8	3.4834e-02	1.2229e-01	0.767389	4
HTR1E	10	3.4849e-02	1.2232e-01	0.767389	2
SLC25A35	11	3.4859e-02	1.2234e-01	0.767389	5
ENOX1	10	3.4882e-02	1.2241e-01	0.767553	6
CACNG7	10	3.4909e-02	1.2248e-01	0.767753	4
SPATA31D4	11	3.4933e-02	1.2254e-01	0.767858	6
negative232	9	3.4979e-02	1.2265e-01	0.768077	6
UTRN	12	3.4991e-02	1.2269e-01	0.768077	7
VSIG10L	11	3.4994e-02	1.2269e-01	0.768077	4
ALOX5AP	11	3.5048e-02	1.2284e-01	0.768486	6
BAAT	6	3.5063e-02	1.2288e-01	0.768486	4
SLC10A4	8	3.5065e-02	1.2289e-01	0.768486	5
ATG5	9	3.5083e-02	1.2294e-01	0.768486	3
CDK11A	11	3.5091e-02	1.2296e-01	0.768486	7
USP27X	11	3.5158e-02	1.2314e-01	0.768839	7
TBC1D2	9	3.5168e-02	1.2316e-01	0.768839	6
PPM1D	6	3.5170e-02	1.2317e-01	0.768839	4
VN1R1	8	3.5184e-02	1.2321e-01	0.768839	5
UAP1L1	7	3.5193e-02	1.2323e-01	0.768839	3
BCKDK	10	3.5203e-02	1.2326e-01	0.768839	5
ZNF737	11	3.5219e-02	1.2330e-01	0.768866	4
EPS15L1	9	3.5261e-02	1.2341e-01	0.769147	4
DSEL	12	3.5266e-02	1.2343e-01	0.769147	7
SLC30A10	7	3.5316e-02	1.2356e-01	0.769432	3
SERTAD4	10	3.5329e-02	1.2359e-01	0.769432	1
GALNT14	11	3.5352e-02	1.2365e-01	0.769432	7
PPIA	4	3.5354e-02	1.2366e-01	0.769432	3
NUDT14	11	3.5363e-02	1.2368e-01	0.769432	5
AMY2A	11	3.5388e-02	1.2375e-01	0.769637	7
DYNLT1	10	3.5449e-02	1.2391e-01	0.770277	6
ZNF28	12	3.5458e-02	1.2393e-01	0.770277	6
negative34	7	3.5520e-02	1.2411e-01	0.770451	4
CARKD	11	3.5528e-02	1.2414e-01	0.770451	6
FLT1	10	3.5530e-02	1.2414e-01	0.770451	6
TEX11	9	3.5535e-02	1.2416e-01	0.770451	2
KMT2A	8	3.5537e-02	1.2417e-01	0.770451	5
SPINK4	10	3.5548e-02	1.2420e-01	0.770451	5
negative283	9	3.5572e-02	1.2427e-01	0.770638	6
ADAM33	6	3.5600e-02	1.2436e-01	0.770890	4
PTH2R	9	3.5653e-02	1.2451e-01	0.771597	6
C1QA	7	3.5795e-02	1.2488e-01	0.772154	4
DCP2	12	3.5796e-02	1.2488e-01	0.772154	7
negative223	7	3.5801e-02	1.2490e-01	0.772154	5
MRPL42	11	3.5809e-02	1.2492e-01	0.772154	7
EZR	11	3.5817e-02	1.2494e-01	0.772154	5
GPRC6A	10	3.5823e-02	1.2495e-01	0.772154	6
CYP1A1	12	3.5836e-02	1.2499e-01	0.772154	5
GCSH	9	3.5858e-02	1.2504e-01	0.772154	5
HOXC6	8	3.5860e-02	1.2505e-01	0.772154	5
PAIP2	10	3.5881e-02	1.2511e-01	0.772154	5
TCEAL4	9	3.5886e-02	1.2512e-01	0.772154	4
EPPK1	7	3.5911e-02	1.2519e-01	0.772154	4
UGT1A1	9	3.5911e-02	1.2519e-01	0.772154	3
CLRN2	9	3.5916e-02	1.2520e-01	0.772154	5
BTBD19	11	3.5918e-02	1.2521e-01	0.772154	6
STXBP1	8	3.5978e-02	1.2537e-01	0.772633	5
CRHBP	12	3.5984e-02	1.2539e-01	0.772633	6
HTR3A	8	3.6007e-02	1.2544e-01	0.772633	4
TTC28	8	3.6036e-02	1.2552e-01	0.772633	3
GIGYF2	8	3.6040e-02	1.2553e-01	0.772633	3
ASB17	10	3.6040e-02	1.2553e-01	0.772633	6
negative171	4	3.6106e-02	1.2570e-01	0.773466	1
SOX17	8	3.6133e-02	1.2577e-01	0.773625	1
LRRIQ4	7	3.6156e-02	1.2583e-01	0.773730	5
LACE1	11	3.6203e-02	1.2596e-01	0.773932	7
DMTF1	9	3.6215e-02	1.2600e-01	0.773932	3
KCNH7	11	3.6216e-02	1.2600e-01	0.773932	6
NPR1	11	3.6224e-02	1.2602e-01	0.773932	4
SAMSN1	7	3.6272e-02	1.2615e-01	0.774228	5
IQCA1	9	3.6299e-02	1.2623e-01	0.774228	6
AFF4	9	3.6302e-02	1.2624e-01	0.774228	5
CAMKMT	9	3.6309e-02	1.2626e-01	0.774228	6
MYCT1	8	3.6325e-02	1.2629e-01	0.774228	4
TMEM53	11	3.6332e-02	1.2631e-01	0.774228	4
FAM195B	9	3.6359e-02	1.2638e-01	0.774412	4
GALNT8	9	3.6377e-02	1.2643e-01	0.774443	6
HHLA1	8	3.6393e-02	1.2648e-01	0.774486	5
PIP5K1A	9	3.6457e-02	1.2666e-01	0.775381	3
NINJ2	8	3.6475e-02	1.2671e-01	0.775425	4
TCTEX1D4	7	3.6496e-02	1.2677e-01	0.775519	3
CNN3	11	3.6619e-02	1.2711e-01	0.777374	6
HBD	9	3.6635e-02	1.2716e-01	0.777435	6
SULT1A1	9	3.6702e-02	1.2734e-01	0.777511	4
OR1F1	7	3.6706e-02	1.2735e-01	0.777511	4
YDJC	10	3.6711e-02	1.2737e-01	0.777511	3
PHGR1	10	3.6715e-02	1.2737e-01	0.777511	6
PLAC8	9	3.6727e-02	1.2740e-01	0.777511	3
TCEB1	8	3.6757e-02	1.2748e-01	0.777511	4
CPLX3	9	3.6760e-02	1.2749e-01	0.777511	6
ZNF544	9	3.6764e-02	1.2750e-01	0.777511	5
DCDC5	8	3.6806e-02	1.2760e-01	0.777710	4
FAM227A	10	3.6811e-02	1.2761e-01	0.777710	5
FLVCR1	9	3.6857e-02	1.2773e-01	0.777981	2
OR52N4	9	3.6861e-02	1.2774e-01	0.777981	4
KRTAP21-3	7	3.6917e-02	1.2790e-01	0.778234	4
RHBDL3	9	3.6968e-02	1.2803e-01	0.778234	5
FAM92B	7	3.6978e-02	1.2807e-01	0.778234	4
MAPK10	9	3.6997e-02	1.2812e-01	0.778234	5
SYT16	7	3.7008e-02	1.2815e-01	0.778234	4
TMOD3	11	3.7013e-02	1.2816e-01	0.778234	4
VGLL2	8	3.7028e-02	1.2820e-01	0.778234	3
ZNF33B	11	3.7029e-02	1.2820e-01	0.778234	7
IL10RA	7	3.7037e-02	1.2823e-01	0.778234	4
XKRX	7	3.7043e-02	1.2824e-01	0.778234	5
GGT7	11	3.7043e-02	1.2824e-01	0.778234	7
NIPA1	11	3.7057e-02	1.2828e-01	0.778234	7
CCDC182	8	3.7068e-02	1.2831e-01	0.778234	5
ERICH5	7	3.7088e-02	1.2836e-01	0.778270	5
MTL5	12	3.7122e-02	1.2844e-01	0.778542	7
MXI1	9	3.7159e-02	1.2854e-01	0.778688	4
NAP1L2	12	3.7170e-02	1.2856e-01	0.778688	4
LOH12CR1	10	3.7192e-02	1.2862e-01	0.778688	5
VAMP3	10	3.7211e-02	1.2867e-01	0.778688	3
RXFP2	11	3.7228e-02	1.2872e-01	0.778688	6
C9orf173	10	3.7251e-02	1.2878e-01	0.778688	6
SLC17A8	9	3.7258e-02	1.2880e-01	0.778688	6
PNMT	7	3.7287e-02	1.2888e-01	0.778688	5
MCOLN1	10	3.7288e-02	1.2888e-01	0.778688	5
PATE2	9	3.7362e-02	1.2909e-01	0.778688	3
ZBTB24	10	3.7370e-02	1.2911e-01	0.778688	3
ADIPOR2	9	3.7375e-02	1.2913e-01	0.778688	5
C8orf88	9	3.7376e-02	1.2913e-01	0.778688	6
MAG	11	3.7380e-02	1.2914e-01	0.778688	7
IVNS1ABP	11	3.7381e-02	1.2914e-01	0.778688	6
H3F3C	9	3.7387e-02	1.2916e-01	0.778688	5
KDM5B	3	3.7421e-02	1.2925e-01	0.778688	2
MBNL3	11	3.7433e-02	1.2928e-01	0.778688	5
RIOK2	12	3.7461e-02	1.2935e-01	0.778688	6
GNG10	3	3.7500e-02	1.2945e-01	0.778688	3
RNF139	8	3.7513e-02	1.2948e-01	0.778688	3
TUBA1C	8	3.7516e-02	1.2949e-01	0.778688	5
ARF1	4	3.7555e-02	1.2960e-01	0.778688	2
ARHGAP44	8	3.7561e-02	1.2962e-01	0.778688	5
SLC25A34	6	3.7562e-02	1.2962e-01	0.778688	2
SLC12A1	6	3.7568e-02	1.2963e-01	0.778688	4
LMNTD1	9	3.7587e-02	1.2968e-01	0.778688	5
PCDHGA3	5	3.7609e-02	1.2974e-01	0.778688	3
CLDN7	7	3.7611e-02	1.2974e-01	0.778688	3
SERPINA3	8	3.7622e-02	1.2977e-01	0.778688	4
GNA11	8	3.7632e-02	1.2980e-01	0.778688	5
BGN	9	3.7638e-02	1.2982e-01	0.778688	6
PAX5	8	3.7639e-02	1.2982e-01	0.778688	5
RASA4B	9	3.7669e-02	1.2990e-01	0.778688	6
GRPEL2	8	3.7670e-02	1.2990e-01	0.778688	3
MAGIX	9	3.7707e-02	1.3002e-01	0.778688	4
DUX4	6	3.7715e-02	1.3004e-01	0.778688	2
RNF126	8	3.7718e-02	1.3005e-01	0.778688	2
LPGAT1	8	3.7730e-02	1.3008e-01	0.778688	4
C17orf53	7	3.7745e-02	1.3012e-01	0.778688	5
OR10C1	9	3.7753e-02	1.3014e-01	0.778688	3
EXOC3L1	11	3.7783e-02	1.3021e-01	0.778763	6
TRIM66	11	3.7796e-02	1.3025e-01	0.778763	5
negative242	9	3.7807e-02	1.3028e-01	0.778763	4
SH2B1	11	3.7865e-02	1.3043e-01	0.779295	6
ZNF780B	11	3.7871e-02	1.3045e-01	0.779295	6
FAM160A1	10	3.7891e-02	1.3051e-01	0.779413	4
SNCG	12	3.7936e-02	1.3063e-01	0.779731	7
DEDD	6	3.7939e-02	1.3064e-01	0.779731	4
OVOL2	12	3.7968e-02	1.3072e-01	0.779804	6
OR4L1	8	3.7979e-02	1.3074e-01	0.779804	4
MON1B	8	3.7990e-02	1.3078e-01	0.779804	4
CLEC9A	9	3.8029e-02	1.3088e-01	0.780148	4
GOLGA6A	11	3.8076e-02	1.3100e-01	0.780415	7
HDAC4	11	3.8107e-02	1.3108e-01	0.780415	6
SH2B3	12	3.8153e-02	1.3120e-01	0.780415	7
GGCT	9	3.8161e-02	1.3123e-01	0.780415	6
FILIP1L	12	3.8161e-02	1.3123e-01	0.780415	7
negative64	9	3.8163e-02	1.3123e-01	0.780415	5
RCAN2	11	3.8163e-02	1.3123e-01	0.780415	7
STX7	11	3.8194e-02	1.3130e-01	0.780415	5
SMAD3	8	3.8198e-02	1.3131e-01	0.780415	4
TPRN	8	3.8210e-02	1.3135e-01	0.780415	4
PIM2	7	3.8233e-02	1.3140e-01	0.780415	5
CCDC61	6	3.8235e-02	1.3141e-01	0.780415	2
TFCP2	9	3.8273e-02	1.3152e-01	0.780628	4
NEU3	6	3.8278e-02	1.3153e-01	0.780628	4
ETFB	7	3.8308e-02	1.3160e-01	0.780685	5
negative212	8	3.8325e-02	1.3165e-01	0.780685	4
VEZF1	10	3.8330e-02	1.3166e-01	0.780685	4
LIMS2	8	3.8370e-02	1.3177e-01	0.780953	5
CD1B	10	3.8377e-02	1.3179e-01	0.780953	5
IL1RAPL2	9	3.8401e-02	1.3185e-01	0.780966	4
CHAMP1	7	3.8408e-02	1.3187e-01	0.780966	4
KLHL14	9	3.8547e-02	1.3224e-01	0.782892	5
OR12D3	10	3.8588e-02	1.3235e-01	0.783058	5
GAGE12J	11	3.8589e-02	1.3235e-01	0.783058	6
ZNF93	12	3.8616e-02	1.3242e-01	0.783254	7
KIF2B	10	3.8634e-02	1.3247e-01	0.783262	6
DEFB125	11	3.8666e-02	1.3255e-01	0.783541	5
TFAP4	10	3.8689e-02	1.3262e-01	0.783610	2
SLC8A2	9	3.8704e-02	1.3267e-01	0.783610	6
SDC3	7	3.8724e-02	1.3271e-01	0.783610	1
OR6C75	12	3.8730e-02	1.3273e-01	0.783610	5
CLPS	10	3.8807e-02	1.3290e-01	0.784402	5
BARHL2	8	3.8856e-02	1.3303e-01	0.784738	5
TBC1D32	7	3.8873e-02	1.3307e-01	0.784738	4
IQCE	8	3.8881e-02	1.3309e-01	0.784738	5
SAP18	10	3.8895e-02	1.3313e-01	0.784738	6
HSPA1A	7	3.8908e-02	1.3317e-01	0.784738	4
OR9Q2	8	3.8923e-02	1.3321e-01	0.784747	5
CDCA2	9	3.8978e-02	1.3335e-01	0.785320	5
NAT6	5	3.9016e-02	1.3345e-01	0.785655	4
OGFOD2	11	3.9047e-02	1.3353e-01	0.785898	6
FREM2	8	3.9079e-02	1.3362e-01	0.786166	4
CTTN	10	3.9134e-02	1.3376e-01	0.786261	5
IGSF23	11	3.9134e-02	1.3376e-01	0.786261	7
TAS2R60	8	3.9138e-02	1.3377e-01	0.786261	4
TMEM170B	7	3.9146e-02	1.3380e-01	0.786261	4
KSR1	9	3.9170e-02	1.3387e-01	0.786464	6
SRSF11	7	3.9185e-02	1.3391e-01	0.786466	4
OR6V1	7	3.9208e-02	1.3398e-01	0.786599	5
TEX43	10	3.9228e-02	1.3403e-01	0.786646	3
PPP2R5D	7	3.9270e-02	1.3413e-01	0.787025	3
SBK3	11	3.9314e-02	1.3426e-01	0.787517	5
SPATA22	9	3.9334e-02	1.3431e-01	0.787606	6
TJP2	9	3.9396e-02	1.3447e-01	0.788132	5
ACOT11	8	3.9402e-02	1.3449e-01	0.788132	4
GLB1L	11	3.9461e-02	1.3463e-01	0.788295	7
